amenities,host_response_rate,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,guests_included,extra_people,availability_365,number_of_reviews,review_scores_rating,reviews_per_month,summary_len,houserules_len,Manhattan,Brooklyn,Queens,Others,Entire_home,Private_room,Shared_room,price
19,1,2,1,1,1,1000,125,2,0,341,134,98,1.22,1,28,1,0,0,0,1,0,0,225
23,1,2,1,1,2,250,95,2,25,290,126,95,1.15,63,22,1,0,0,0,1,0,0,219
34,1,2,1,1,1,1000,185,1,0,20,117,97,1.08,24,158,1,0,0,0,1,0,0,196
27,0.8,5,1,2,4,150,80,2,25,188,84,90,0.78,1,78,1,0,0,0,1,0,0,165
14,1,2,1,0,1,0,0,1,0,11,115,93,1.07,37,32,0,1,0,0,1,0,0,132
11,1,2,1,1,1,400,60,1,0,212,38,97,0.35,1,15,1,0,0,0,1,0,0,150
9,0.8,2,1,1,1,100,50,1,35,244,122,93,1.17,1,4,1,0,0,0,0,1,0,99
27,1,2,1,1,1,0,80,1,0,0,33,98,0.57,1,35,0,1,0,0,1,0,0,200
2,1,2,1,1,1,150,70,2,35,47,52,93,0.49,39,79,0,1,0,0,1,0,0,150
36,1,2,1,1,1,0,30,1,30,215,51,95,0.47,67,4,0,1,0,0,0,1,0,120
18,1,3,1,1,2,199,45,1,15,306,45,87,0.42,23,1,1,0,0,0,1,0,0,275
17,1,2,1,1,1,299,165,2,50,255,111,95,1.05,80,1,1,0,0,0,1,0,0,299
19,1,3,1,1,2,200,78,2,27,181,152,97,1.43,82,181,0,1,0,0,1,0,0,135
22,1,2,1,1,1,150,15,1,10,365,52,88,0.48,1,179,0,0,1,0,0,1,0,55
6,0.9,7,1,2,1,200,100,3,25,365,6,80,0.06,1,17,0,0,1,0,0,1,0,140
69,1,5,1,1,4,200,85,2,35,249,107,93,1.02,88,34,1,0,0,0,1,0,0,121
21,1,2,1,1,2,500,25,1,0,94,25,98,0.24,76,82,0,1,0,0,0,1,0,71
8,0.75,2,1,1,1,150,80,1,0,315,129,96,1.21,50,44,1,0,0,0,1,0,0,199
13,1,2,1,1,1,200,40,2,30,248,192,92,1.83,1,48,1,0,0,0,0,1,0,64
65,0.99,4,1,1,2,0,60,2,30,301,18,88,0.17,58,10,0,0,1,0,1,0,0,140
14,1,2,1,1,1,500,125,1,0,343,7,97,0.07,1,55,1,0,0,0,1,0,0,239
21,0.86,2,1,1,1,500,75,2,30,236,109,99,1.09,51,61,1,0,0,0,1,0,0,305
16,1,2,1,1,1,500,130,2,20,241,42,90,0.4,79,184,1,0,0,0,1,0,0,150
5,0.9,9,1,3,1,200,100,3,15,365,1,100,0.01,1,26,0,0,1,0,1,0,0,140
5,1,4,1,1,1,100,100,1,20,0,82,92,0.77,1,1,1,0,0,0,1,0,0,250
11,0.9,6,1,3,3,700,100,6,50,316,97,86,1.01,56,50,1,0,0,0,1,0,0,500
16,1,2,1,1,1,200,100,1,0,337,184,97,1.82,52,69,1,0,0,0,1,0,0,125
10,1,3,1,1,2,150,40,2,35,273,191,94,1.83,1,65,1,0,0,0,0,1,0,92
9,1,1,1,1,1,200,90,2,0,365,1,100,0.1,1,62,1,0,0,0,0,1,0,175
11,1,5,1,1,2,300,150,2,30,330,128,89,1.22,66,28,1,0,0,0,1,0,0,99
25,0.8,5,1,2,4,150,80,2,25,174,137,89,1.31,1,49,1,0,0,0,1,0,0,140
10,0.9,1,1.5,1,1,200,30,1,0,0,10,80,1.82,1,23,1,0,0,0,0,1,0,80
44,1,2,2,1,1,0,50,1,40,318,172,97,1.8,53,45,1,0,0,0,0,1,0,125
9,1,2,1,1,1,400,49,1,0,58,58,96,0.59,1,20,1,0,0,0,1,0,0,130
26,1,3,1,1,2,250,75,2,25,24,114,91,2.15,86,68,0,1,0,0,1,0,0,99
17,1,2,1,1,1,200,50,1,0,315,30,96,0.3,1,1,1,0,0,0,1,0,0,170
31,1,2,1,1,1,0,125,1,0,43,63,98,0.71,34,17,1,0,0,0,1,0,0,205
17,1,4,2,2,2,500,125,2,20,285,125,96,1.22,1,152,0,1,0,0,1,0,0,285
36,0.93,1,1,1,1,0,0,1,0,20,184,96,1.78,77,183,0,1,0,0,0,1,0,59
1,1,2,1,1,1,200,40,1,7,309,36,93,0.41,20,1,0,1,0,0,0,1,0,70
44,0.89,2,1,1,2,225,80,1,10,187,1,100,0.79,77,23,1,0,0,0,0,1,0,75
3,1,2,1,1,1,200,40,1,7,217,18,89,0.22,25,1,0,1,0,0,0,1,0,70
14,1,2,1,1,2,500,60,2,50,3,65,90,0.64,60,59,1,0,0,0,1,0,0,120
15,1,3,1,2,2,200,85,2,25,260,5,100,0.14,89,68,1,0,0,0,1,0,0,129
37,1,3,1,1,1,350,70,1,15,28,134,91,1.28,40,54,0,1,0,0,1,0,0,95
11,1,2,1,1,1,1020,100,1,0,275,11,100,0.11,1,29,0,1,0,0,1,0,0,175
16,0.68,2,1,1,1,300,35,1,12,329,15,92,0.14,54,91,0,1,0,0,0,1,0,49
19,1,2,1,0,1,1000,75,2,30,7,69,99,1.32,66,126,1,0,0,0,1,0,0,212
15,0.75,2,1,1,1,0,50,2,80,217,11,91,0.14,76,3,0,1,0,0,1,0,0,140
13,1,5,1,2,2,200,60,4,15,192,189,87,1.87,42,181,1,0,0,0,1,0,0,135
25,1,4,1,1,1,300,80,3,35,273,69,99,0.79,1,7,0,1,0,0,1,0,0,190
39,1,2,1,1,1,500,120,1,0,132,23,97,0.27,36,1,1,0,0,0,1,0,0,124
41,1,4,1,1,2,0,120,2,0,71,56,98,0.55,77,100,0,1,0,0,1,0,0,135
32,1,2,1,1,1,0,0,1,15,263,96,96,0.95,42,84,1,0,0,0,0,1,0,122
33,1,1,1,1,2,0,100,1,0,347,64,91,0.68,93,79,1,0,0,0,0,1,0,85
39,1,4,1,2,3,250,75,1,20,47,129,89,1.26,78,121,0,1,0,0,1,0,0,145
19,1,2,1,1,2,500,80,2,20,278,30,99,0.31,1,1,1,0,0,0,1,0,0,195
23,1,5,1,3,4,500,100,4,50,280,109,99,1.36,76,181,0,1,0,0,1,0,0,250
20,0.9,2,1,1,1,1000,65,2,30,5,48,96,0.54,68,64,1,0,0,0,1,0,0,150
8,1,2,1,1,1,0,40,1,25,173,47,95,0.48,30,11,0,1,0,0,0,1,0,70
20,0.75,1,1,1,1,0,50,1,25,20,52,97,0.62,59,16,1,0,0,0,0,1,0,65
17,1,8,2,2,3,500,77,2,39,355,64,83,0.63,84,79,0,1,0,0,1,0,0,185
66,1,6,1,2,4,0,75,4,100,290,33,99,0.44,78,45,1,0,0,0,1,0,0,250
27,0.67,2,1,1,1,1000,170,2,0,220,39,97,0.44,38,104,1,0,0,0,1,0,0,200
23,1,1,1,1,1,300,65,1,20,31,31,89,0.38,47,78,0,1,0,0,0,1,0,59
26,1,5,2.5,3,4,500,120,5,50,98,14,95,0.3,57,39,0,1,0,0,1,0,0,350
27,1,2,2,1,1,100,50,1,10,308,76,82,0.75,19,54,0,1,0,0,0,1,0,120
4,1,2,1,1,2,0,10,1,15,222,183,87,1.8,94,66,1,0,0,0,0,1,0,71
13,1,2,1,1,1,0,25,1,25,0,66,97,0.67,15,55,0,1,0,0,0,1,0,100
17,1,4,1,2,2,500,100,1,0,124,81,95,0.85,76,36,0,1,0,0,1,0,0,200
27,1,3,1,2,3,500,150,1,0,19,5,92,0.05,17,16,0,1,0,0,1,0,0,130
20,0.68,4,1,1,1,500,100,1,10,180,11,90,0.11,9,90,0,1,0,0,1,0,0,79
29,1,6,1,2,3,500,75,2,35,83,152,95,1.51,88,111,1,0,0,0,1,0,0,150
18,1,5,1,1,4,350,90,4,15,260,78,94,0.78,1,183,0,1,0,0,1,0,0,120
36,1,2,1,1,1,300,35,2,0,352,42,97,1.17,91,13,0,0,1,0,0,1,0,80
16,1,2,1.5,1,1,500,85,1,15,286,104,97,1.03,79,45,0,1,0,0,1,0,0,120
18,1,6,1,2,4,250,50,4,20,37,4,90,0.07,1,122,0,1,0,0,1,0,0,200
